osmid,u,v,length,speed_kph,travel_time
"[1363352699, 1363352700, 694822286]",1943343027,6525525595,801.8123429355356,63.2593607305936,45.629996908456626
175833510,1944637406,1944637409,88.74188330924883,60.0,5.32451299855493
"[183864684, 183864655, 186435641, 186435642, 183864605]",1944637406,1944637409,446.5351301112445,58.42291666666667,27.515340899056106
"[83123294, 175833510, 83123279]",1944637406,244550311,87.86653097622502,60.0,5.271991858573501
183864684,1944637406,7417259746,202.1712721569192,58.42291666666667,12.457724148170891
175833510,1944637409,1944637406,88.74188330924883,60.0,5.32451299855493
"[183864684, 183864655, 186435641, 186435642, 183864605]",1944637409,1944637406,446.53513011124454,58.42291666666667,27.51534089905611
175833510,1944637409,2191261132,19.864627925808463,60.0,1.1918776755485077
459068253,1945507216,1945507253,369.61929073030785,60.0,22.17715744381847
184102256,1945507216,1945507253,376.0234192675742,60.0,22.561405156054448
"[459068252, 877538237, 971211831]",1945507253,1981188863,203.41791254764493,60.0,12.205074752858694
184102254,1945507255,1945507279,379.88424847447277,60.0,22.793054908468363
459068254,1945507255,1945507279,374.17100727812687,60.0,22.45026043668761
"[80963210, 993449228]",1945507279,943980788,102.84427350068786,60.0,6.170656410041271
415624713,1947395446,246236331,88.96736125541705,60.0,5.338041675325022
185171230,1957380619,25893785,60.506493610590844,60.0,3.6303896166354503
"[769647306, 185171236]",1957380619,6326372348,643.0862911015524,60.0,38.58517746609314
1388780592,1957501232,12848464826,8.598299584114024,60.0,0.5158979750468414
251949580,1957501232,5241049423,165.24538579023653,60.0,9.914723147414191
"[613091584, 294800330, 361354634]",1963434095,26057091,724.0945523406783,60.0,43.4456731404407
1123881139,1963434095,10278009146,16.602887674973452,60.0,0.996173260498407
1361717357,1964516074,12607128886,61.402454947842834,60.0,3.6841472968705697
"[34243195, 1361717357, 1361717358]",1964516074,382561706,263.9525905739448,50.0,19.004586521324025
185851060,1965407117,1965407128,137.88030602980297,58.42291666666667,8.496136961790803
185851056,1965407120,1965407131,155.4228638941251,58.42291666666667,9.57710333448804
185851057,1965407121,1965407122,54.283461038538796,58.42291666666667,3.3449281701171425
185851061,1965407121,1498880133,144.02827929831926,58.42291666666667,8.874972956798333
"[185851057, 185851061]",1965407121,1965407121,309.3628584377629,58.42291666666667,19.06283277040453
"[185851057, 185851061]",1965407121,1965407121,309.3628584377629,58.42291666666667,19.06283277040453
185851057,1965407122,1965407121,54.283461038538796,58.42291666666667,3.3449281701171425
185851057,1965407122,1965407124,56.08893949035957,58.42291666666667,3.456181130383387
968851503,1965407122,8963645153,61.23517237525941,58.42291666666667,3.773290228022973
185851057,1965407124,1965407122,56.08893949035957,58.42291666666667,3.456181130383387
185851057,1965407124,1965407128,60.29091752855419,58.42291666666667,3.7151055696374007
136620254,1965407124,1498880133,97.11096514494392,58.42291666666667,5.983944220321045
136620254,1965407124,1498880123,96.25660820930861,58.42291666666667,5.931299040248377
185851057,1965407128,1965407124,60.29091752855419,58.42291666666667,3.7151055696374007
185851057,1965407128,1965407131,58.95471512330202,58.42291666666667,3.632769237708729
185851060,1965407128,1965407141,147.93659995177012,58.42291666666667,9.115802329160886
185851060,1965407128,1965407117,137.88030602980297,58.42291666666667,8.496136961790803
185851057,1965407131,1965407128,58.95471512330202,58.42291666666667,3.632769237708729
"[185851056, 185851054]",1965407131,1498880143,217.39210598607667,58.42291666666667,13.395626685587862
185851056,1965407131,1965407120,155.4228638941251,58.42291666666667,9.57710333448804
185851050,1965407141,4990534810,58.10380980183619,58.42291666666667,3.5803367449122034
185851060,1965407141,1965407128,147.93659995177012,58.42291666666667,9.115802329160886
185851050,1965407141,12680589431,17.973498698897238,58.42291666666667,1.1075207984771396
185851047,1965407149,1965407177,197.37175067633606,58.42291666666667,12.16197928783328
185851050,1965407149,1965407155,92.44119479525882,58.42291666666667,5.696194579973869
185851050,1965407149,1498880158,57.64061965665163,58.42291666666667,3.551795127721499
185851050,1965407155,1965407161,69.6633196256891,58.42291666666667,4.2926297583422155
185851050,1965407155,1965407149,92.44119479525882,58.42291666666667,5.696194579973869
185851059,1965407155,1965407180,146.59563179790388,58.42291666666667,9.033172333444277
185851050,1965407161,1965407162,73.10261948357753,58.42291666666667,4.5045582308462695
185851055,1965407161,1965407184,135.05798263940943,58.42291666666667,8.322226366683289
185851050,1965407161,1965407155,69.6633196256891,58.42291666666667,4.2926297583422155
185851049,1965407162,1965407187,134.23288601205957,58.42291666666667,8.271384196727842
185851050,1965407162,1965407161,73.10261948357753,58.42291666666667,4.5045582308462695
185851050,1965407162,1965407165,69.85453111084544,58.42291666666667,4.3044121441907395
185851048,1965407165,1965407188,136.2388345567026,58.42291666666667,8.394990055057665
185851050,1965407165,1498880173,74.58494867383281,58.42291666666667,4.595898844930396
